con_uncon,log_diversity,plant_CN
uncon,0,26.1625207296849
uncon,1.4150374992788457,45.8088978766431
uncon,0,58.5348837209302
uncon,1,55.9017412935323
uncon,3.256339753259786,39.2761824324324
uncon,0,28.4484808454425
uncon,2.807354922057604,38.6395939086294
uncon,0.6374299206152959,41.5347349177331
uncon,0.6374299206152959,29.5335463258786
uncon,0,25.1354651162791
uncon,0,27.6278935185185
uncon,1.6374299206152911,32.2618364418938
uncon,1.2895066171949825,48.3266171792153
uncon,0,27.0925925925926
uncon,3.473931188332411,33.7507374631268
uncon,0,23.1694070752367
uncon,0,25.0649419218585
uncon,3.384663850235319,39.5343642611684
uncon,0,51.7738636363636
uncon,0,59.3496143958869
uncon,1.0780025120012722,31.3924050632911
uncon,3.169925001442312,41.00900090009
uncon,3,36.6764009471192
uncon,0.15200309344504861,29.8282958199357
uncon,1,31.0262626262626
uncon,3.187627003175771,36.48046875
uncon,1,26.5389287686361
uncon,2,27.1843640606768
uncon,1.584962500721156,29.589229805886
uncon,1,40.297629499561
uncon,2.415037499278843,29.6106194690265
uncon,1.9593580155026546,49.3192436040044
uncon,0.2895066171949824,26.9515116942385
uncon,1.584962500721156,39.8444830582103
uncon,3.2394659346953887,38.3435940099834
uncon,0,29.6504787961696
uncon,1.9175378398080278,49.2235294117647
uncon,0,41.0444893832154
uncon,1.6374299206152911,28.6751552795031
uncon,0.15200309344504861,50.3664459161148
uncon,2.289506617194985,34.2751283932502
uncon,3.205114429904612,39.1040763226366
uncon,0,32.8045891931902
uncon,0,50.8436781609195
uncon,3.205114429904612,41.4866850321396
uncon,0,53.4230769230769
uncon,0.8300749985576894,28.5324103209566
uncon,0,21.310972688069
uncon,2.384663850235324,48.9657020364416
uncon,2.289506617194985,36.2523885350318
uncon,3.078002512001272,34.5405807892777
uncon,3.187627003175771,40.1685589519651
uncon,0,58.8584298584299
uncon,1.6374299206152911,40.3178226514486
uncon,1.7369655941662048,28.680174563591
uncon,1.5305147166987805,49.929203539823
uncon,0.8300749985576894,30.4756682659356
uncon,1.584962500721156,33.9992354740061
uncon,0,35.1314960629921
uncon,0,24.208064516129
uncon,0,46.6736621196222
uncon,2.078002512001272,26.2291421856639
uncon,1.1520030934450487,32.4120996441281
uncon,0,51.1207674943567
uncon,3.205114429904612,37.0988654781199
uncon,0,25.689709762533
uncon,1.6880559936852588,41.5646511627907
uncon,1.2223924213364459,27.2603211009174
uncon,0,37.6174273858921
uncon,2,37.8140293637847
uncon,0.41503749927884015,30.073732718894
uncon,0,28.996796925048
