con_uncon,log_diversity,log_biomass
uncon,0,2.1206861460052724
uncon,1.4150374992788457,2.0039791544430847
uncon,0,1.7101521674769782
uncon,1,1.7649561482925222
uncon,3.256339753259786,2.358300414767749
uncon,0,1.6331900587930182
uncon,2.807354922057604,2.2966544668086013
uncon,0.6374299206152959,2.199307125722262
uncon,0.6374299206152959,1.0803017267939117
uncon,0,1.2569491397152965
uncon,0,2.2907788316809454
uncon,1.6374299206152911,1.9829743814233807
uncon,1.2895066171949825,1.6951312977040258
uncon,0,1.7807836061931392
uncon,3.473931188332411,2.29432413252995
uncon,0,1.5651102558333874
uncon,0,1.7914348770926767
uncon,3.384663850235319,2.3935385474633954
uncon,0,1.5110436561059009
uncon,0,1.6630079510295563
uncon,1.0780025120012722,1.893709991218014
uncon,3.169925001442312,2.3114800162102447
uncon,3,2.2447132583931846
uncon,0.15200309344504861,1.7143670206505708
uncon,1,1.927902210550701
uncon,3.187627003175771,2.421087072212277
uncon,1,2.053556459392886
uncon,2,1.9310468877275004
uncon,1.584962500721156,2.0446333857927725
uncon,1,2.198068466601687
uncon,2.415037499278843,2.2645494531180357
uncon,1.9593580155026546,1.8316024776316382
uncon,0.2895066171949824,1.370301267218366
uncon,1.584962500721156,2.3472766605078004
uncon,3.2394659346953887,2.415164284206879
uncon,0,1.4662578296981552
uncon,1.9175378398080278,2.3818866745967138
uncon,0,0.95784663370815
uncon,1.6374299206152911,1.9196945040444338
uncon,0.15200309344504861,1.8545577044447474
uncon,2.289506617194985,2.24938046462192
uncon,3.205114429904612,2.3733399524313152
uncon,0,1.6256039410408143
uncon,0,1.6451951278784838
uncon,3.205114429904612,2.411363392857307
uncon,0,1.9040798938450239
uncon,0.8300749985576894,1.2813692534172572
uncon,0,1.9291974642285383
uncon,2.384663850235324,2.435681598877527
uncon,2.289506617194985,2.162721356067273
uncon,3.078002512001272,2.3403656659309933
uncon,3.187627003175771,2.494706545690066
uncon,0,1.7278953436813922
uncon,1.6374299206152911,2.3187666377596168
uncon,1.7369655941662048,1.8725712612349026
uncon,1.5305147166987805,1.760899743956286
uncon,0.8300749985576894,1.9717447407977386
uncon,1.584962500721156,1.7750762006452143
uncon,0,1.9788741032961596
uncon,0,2.274507684995113
uncon,0,2.184049765534312
uncon,2.078002512001272,1.9550048042956514
uncon,1.1520030934450487,2.04087780691274
uncon,0,1.8622818185278218
uncon,3.205114429904612,2.3448922214366292
uncon,0,2.3527226374620183
uncon,1.6880559936852588,2.2038910129243887
uncon,1.2223924213364459,2.2499247001735876
uncon,0,1.9063871252822615
uncon,2,2.28561906094263
uncon,0.41503749927884015,1.8978017512723278
uncon,0,0.7829739949440483
uncon,3.019899557437705,2.2742777000551553
uncon,0,1.4511602046022276
uncon,3.187627003175771,2.348090584217155
uncon,0,1.8085388026577742
uncon,3.019899557437705,2.272662197016248
uncon,0.6374299206152959,1.9380051829100426
uncon,0,2.044634256631984
uncon,1,2.0332718152038196
uncon,3.1154772174199366,2.4492743605665046
uncon,1.6374299206152911,1.5008719865796383
uncon,0.6374299206152959,1.948381990217687
uncon,3.1154772174199366,2.2762120321841124
uncon,1,2.232600860885144
uncon,1.584962500721156,2.184019442096872
uncon,2.5305147166987805,2.2607424613837814
uncon,2.502500340529184,2.2172361648396874
uncon,3.1154772174199366,2.4531674321804866
uncon,0,1.8255234822972979
uncon,1,2.2396469981355165
uncon,1,2.420859358616173
uncon,0.5849625007211562,1.8271672662210734
uncon,1,2.2830204047490548
uncon,1,2.0571346364461376
uncon,3.2394659346953887,2.570645664061257
uncon,2.637429920615291,2.5036339396642124
uncon,2.502500340529184,2.401947851067665
uncon,2.688055993685259,2.468669895003872
uncon,0,0.9799863178006764
uncon,2.415037499278843,2.2025712567824267
uncon,3.205114429904612,2.4352853953189704
uncon,1.2895066171949825,2.0873041255638984
uncon,1,2.110501327429369
uncon,0,1.887942836653317
uncon,3.09686153925259,2.4146644064803553
uncon,1.4739311883324135,1.972167854709045
uncon,0,1.800500946208539
uncon,2.1876270031757725,2.338966633767099
uncon,1,2.2398900960886325
uncon,0.41503749927884015,2.026348467342334
uncon,3.289506617194985,2.5264107922196333
uncon,1,2.309095249064824
uncon,0,0.9056579872148117
uncon,3.205114429904612,2.4335431631740567
uncon,3.15200309344505,2.381506361327668
uncon,3.187627003175771,2.4184081021024615
uncon,0,0.3783979009481377
uncon,3.3378696387563824,2.4713363771884
uncon,1,2.445144413796689
uncon,0,2.037299422759702
uncon,1.8300749985576894,2.0388187873736556
uncon,0,2.1970261877594917
uncon,0,1.8124773586125817
uncon,3.3378696387563824,2.7606590022663067
uncon,0,1.651317865581942
uncon,0,1.779700683783487
uncon,0,1.8445303288672095
uncon,2.3536369546147,1.9525303778490226
uncon,1.9593580155026546,2.3370528422198746
uncon,1.4150374992788457,1.5952512037756885
uncon,0,1.6409703364989123
uncon,2.384663850235324,2.507929147087936
uncon,2.1876270031757725,2.3554289565765685
uncon,3.2223924213364477,2.452823955334546
uncon,1,2.3695277527712637
uncon,3.384663850235319,2.4104791685595774
uncon,1.4150374992788457,2.1046278320937457
uncon,2.256339753259786,2.274096242840155
uncon,0.2895066171949824,1.8243500493737943
uncon,2.039528364186637,2.0663093568254167
uncon,0,1.1110009917471382
uncon,1,1.9656651820517634
uncon,2.256339753259786,2.3055219004611947
uncon,3.321928094887362,2.4649691823556057
uncon,0,1.6975911041149987
uncon,0.32192809488736235,0.6867479561555162
uncon,1.2895066171949825,1.806215409761526
uncon,3.3378696387563824,2.4624417579351214
uncon,3.205114429904612,2.4338745069859917
uncon,1,2.128354386429918
uncon,3.2730184944064162,2.3639876210332926
uncon,0,-0.1456939581989194
uncon,0,1.9356958781752163
uncon,0.15200309344504861,1.6919749105717419
uncon,3.3536369546146974,2.452095634495623
uncon,0,1.3875776635616623
uncon,3.2730184944064162,2.376090079783654
uncon,1,2.159436845228793
con,0,2.1206861460052724
con,1.4150374992788457,2.0039791544430847
con,1,1.7649561482925222
con,3.256339753259786,2.358300414767749
con,2.807354922057604,2.2966544668086013
con,0.6374299206152959,2.199307125722262
con,0.6374299206152959,1.0803017267939117
con,0,1.2569491397152965
con,0,2.2907788316809454
con,1.6374299206152911,1.9829743814233807
con,1.2895066171949825,1.6951312977040258
con,3.473931188332411,2.29432413252995
con,0,1.5651102558333874
con,0,1.7914348770926767
con,3.384663850235319,2.3935385474633954
con,1.0780025120012722,1.893709991218014
con,3.169925001442312,2.3114800162102447
con,3,2.2447132583931846
con,0.15200309344504861,1.7143670206505708
con,1,1.927902210550701
con,3.187627003175771,2.421087072212277
con,1,2.053556459392886
con,2,1.9310468877275004
con,1.584962500721156,2.0446333857927725
con,1,2.198068466601687
con,2.415037499278843,2.2645494531180357
con,1.9593580155026546,1.8316024776316382
con,0.2895066171949824,1.370301267218366
con,1.584962500721156,2.3472766605078004
con,3.2394659346953887,2.415164284206879
con,1.9175378398080278,2.3818866745967138
con,0,0.95784663370815
con,1.6374299206152911,1.9196945040444338
con,0.15200309344504861,1.8545577044447474
con,2.289506617194985,2.24938046462192
con,3.205114429904612,2.3733399524313152
con,3.205114429904612,2.411363392857307
con,0.8300749985576894,1.2813692534172572
con,0,1.9291974642285383
con,2.384663850235324,2.435681598877527
con,2.289506617194985,2.162721356067273
con,3.078002512001272,2.3403656659309933
con,3.187627003175771,2.494706545690066
con,1.6374299206152911,2.3187666377596168
con,1.7369655941662048,1.8725712612349026
con,1.5305147166987805,1.760899743956286
con,1.584962500721156,1.7750762006452143
con,0,2.274507684995113
con,2.078002512001272,1.9550048042956514
con,1.1520030934450487,2.04087780691274
con,3.205114429904612,2.3448922214366292
con,0,2.3527226374620183
con,1.6880559936852588,2.2038910129243887
con,1.2223924213364459,2.2499247001735876
con,2,2.28561906094263
con,0,0.7829739949440483
con,3.019899557437705,2.2742777000551553
con,3.187627003175771,2.348090584217155
con,3.019899557437705,2.272662197016248
con,3.1154772174199366,2.4492743605665046
con,1.6374299206152911,1.5008719865796383
con,0.6374299206152959,1.948381990217687
con,3.1154772174199366,2.2762120321841124
con,1.584962500721156,2.184019442096872
con,2.5305147166987805,2.2607424613837814
con,2.502500340529184,2.2172361648396874
con,3.1154772174199366,2.4531674321804866
con,1,2.2396469981355165
con,0.5849625007211562,1.8271672662210734
con,1,2.2830204047490548
con,3.2394659346953887,2.570645664061257
con,2.637429920615291,2.5036339396642124
con,2.502500340529184,2.401947851067665
con,2.688055993685259,2.468669895003872
con,0,0.9799863178006764
con,2.415037499278843,2.2025712567824267
con,3.205114429904612,2.4352853953189704
con,1.2895066171949825,2.0873041255638984
con,0,1.887942836653317
con,3.09686153925259,2.4146644064803553
con,1.4739311883324135,1.972167854709045
con,0,1.800500946208539
con,2.1876270031757725,2.338966633767099
con,1,2.2398900960886325
con,3.289506617194985,2.5264107922196333
con,1,2.309095249064824
con,0,0.9056579872148117
con,3.205114429904612,2.4335431631740567
con,3.15200309344505,2.381506361327668
con,3.187627003175771,2.4184081021024615
con,0,0.3783979009481377
con,3.3378696387563824,2.4713363771884
