con_uncon,log_diversity,log_soil_C
uncon,0,-0.43062609038495414
uncon,1.4150374992788457,-0.4282911681913124
uncon,0,-0.3545777306509081
uncon,1,-0.4329736338409396
uncon,3.256339753259786,-0.3851027839668654
uncon,0,-0.3615107430453627
uncon,2.807354922057604,-0.39040559077478
uncon,0.6374299206152959,-0.42136079003192767
uncon,0.6374299206152959,-0.4788619162959637
uncon,0,-0.5114492834995558
uncon,0,-0.47495519296315475
uncon,1.6374299206152911,-0.33535802444387447
uncon,1.2895066171949825,-0.3545777306509081
uncon,0,-0.2596373105057561
uncon,3.473931188332411,-0.2572748686953017
uncon,0,-0.3448615651886179
uncon,0,-0.4412914294668343
uncon,3.384663850235319,-0.27572413039921095
uncon,0,-0.4412914294668343
uncon,0,-0.4698003017969178
uncon,1.0780025120012722,-0.37675070960209955
uncon,3.169925001442312,-0.24260397120697583
uncon,3,-0.16621562534352105
uncon,0.15200309344504861,-0.4975728800155673
uncon,1,-0.46470587995722945
uncon,3.187627003175771,-0.32513885926218844
uncon,1,-0.2388241868442686
uncon,2,-0.42136079003192767
uncon,1.584962500721156,-0.30627305107635305
uncon,1,-0.3957739469155299
uncon,2.415037499278843,-0.30627305107635305
uncon,1.9593580155026546,-0.431798275933005
uncon,0.2895066171949824,-0.3645162531850879
uncon,1.584962500721156,-0.1911141326401879
uncon,3.2394659346953887,-0.18641901143180803
uncon,0,-0.43062609038495414
uncon,1.9175378398080278,-0.23657200643706275
uncon,0,0.0824263008607719
uncon,1.6374299206152911,-0.24412514432750865
uncon,0.15200309344504861,-0.42596873227228116
uncon,2.289506617194985,-0.31605286924848786
uncon,3.205114429904612,-0.27164621797877153
uncon,0,-0.2062096153091813
uncon,0,-0.393618634889395
uncon,3.205114429904612,-0.17979854051435973
uncon,0,-0.16877030613293661
uncon,0.8300749985576894,-0.13253251214094852
uncon,0,-0.39469495385889053
uncon,2.384663850235324,-0.31785492362616824
uncon,2.289506617194985,-0.19449914184159983
uncon,3.078002512001272,-0.42596873227228116
uncon,3.187627003175771,-0.239577516576788
uncon,0,-0.3798639450262425
uncon,1.6374299206152911,-0.3565473235138126
uncon,1.7369655941662048,-0.2749054789185309
uncon,1.5305147166987805,-0.3214816209598861
uncon,0.8300749985576894,-0.3526170298853802
uncon,1.584962500721156,-0.36351210364663455
uncon,0,-0.24872089601665776
uncon,0,-0.45717457304082015
uncon,0,-0.31695296176115045
uncon,2.078002512001272,-0.3036436112666679
uncon,1.1520030934450487,-0.4854522473397139
uncon,0,-0.36957212497497616
uncon,3.205114429904612,-0.26760624017703144
uncon,0,-0.341035157335565
uncon,1.6880559936852588,-0.25181197299379954
uncon,1.2223924213364459,-0.23732143627256383
uncon,0,-0.40450377817442584
uncon,2,-0.32513885926218844
uncon,0.41503749927884015,-0.22694530663573742
uncon,0,-0.47108329972234525
uncon,3.019899557437705,-0.3106911408763798
uncon,0,-0.34008379993014975
uncon,3.187627003175771,-0.3545777306509081
uncon,0,-0.44611697335612566
uncon,3.019899557437705,-0.2975694635544747
uncon,0.6374299206152959,-0.28819277095880896
uncon,0,-0.46597389394386496
uncon,1,-0.34390179798716813
uncon,3.1154772174199366,-0.3535962737769304
uncon,1.6374299206152911,-0.40011692792631215
uncon,0.6374299206152959,-0.37675070960209955
uncon,3.1154772174199366,-0.2006594505464183
uncon,1,-0.1917890270757779
uncon,1.584962500721156,-0.3089185078770315
uncon,2.5305147166987805,-0.1897674820049159
uncon,2.502500340529184,-0.07314329105030767
uncon,3.1154772174199366,-0.20690839982341983
uncon,0,-0.384049948343599
uncon,1,-0.2798406965940431
uncon,1,-0.20204035626280387
uncon,0.5849625007211562,-0.02826040911222171
uncon,1,-0.05898575629443027
uncon,1,-0.13430394008392949
uncon,3.2394659346953887,0.07918124604762482
uncon,2.637429920615291,-0.21467016498923297
uncon,2.502500340529184,-0.1897674820049159
uncon,2.688055993685259,-0.1911141326401879
uncon,0,-0.31695296176115045
uncon,2.415037499278843,-0.36957212497497616
uncon,3.205114429904612,-0.3187587626244128
uncon,1.2895066171949825,-0.18111458540599013
uncon,0,-0.17392519729917355
uncon,3.09686153925259,-0.28483264215154214
uncon,1.4739311883324135,-0.19654288435158612
uncon,0,-0.2898826348881837
uncon,2.1876270031757725,-0.12320502379929943
uncon,1,-0.0013048416883442813
uncon,0.41503749927884015,-0.09420411963213146
uncon,3.289506617194985,-0.040481623027001735
uncon,1,-0.265200170411153
uncon,0,-0.15552282425431863
uncon,3.205114429904612,-0.16749108729376366
uncon,3.15200309344505,-0.5100415205751654
uncon,3.187627003175771,-0.2814983111327257
uncon,0,-0.3625102704874893
uncon,3.3378696387563824,-0.10017949757290372
uncon,1,-0.17914201056030005
uncon,0,-0.07058107428570728
uncon,1.8300749985576894,-0.17652577082969892
uncon,0,-0.13786862068696282
uncon,0,-0.16877030613293661
uncon,3.3378696387563824,0.11293997608408006
uncon,0,-0.26042765554990804
uncon,0,-0.36653154442041347
uncon,0,-0.3142582613977364
uncon,2.3536369546147,-0.23732143627256383
uncon,1.9593580155026546,-0.31695296176115045
uncon,1.4150374992788457,-0.32975414692587596
uncon,0,-0.31695296176115045
uncon,2.384663850235324,-0.16367588429324828
uncon,2.1876270031757725,-0.21896306137886817
uncon,3.2223924213364477,-0.17717835469689538
uncon,1,-0.3010299956639812
uncon,3.384663850235319,-0.11577123036739606
uncon,1.4150374992788457,-0.2410881076020265
uncon,2.256339753259786,-0.24872089601665776
uncon,0.2895066171949824,-0.17848647159522685
uncon,2.039528364186637,-0.22329881601158919
uncon,0,-0.3391345219961308
uncon,1,-0.12147820449879346
uncon,2.256339753259786,-0.17587416608345102
uncon,3.321928094887362,-0.2196826878598487
uncon,0,-0.31695296176115045
uncon,0.32192809488736235,-0.3545777306509081
uncon,1.2895066171949825,-0.3545777306509081
uncon,3.3378696387563824,-0.2898826348881837
uncon,3.205114429904612,-0.33535802444387447
uncon,1,-0.28735029837278864
uncon,3.2730184944064162,-0.40011692792631215
uncon,0,-0.38827669199265824
uncon,0,-0.368556230986828
uncon,0.15200309344504861,-0.34294414714289606
uncon,3.3536369546146974,-0.21253952548158497
uncon,0,-0.27736607746618774
uncon,3.2730184944064162,-0.23358715288760054
uncon,1,-0.30277065724028246
con,0,-0.43062609038495414
con,1.4150374992788457,-0.4282911681913124
con,1,-0.4329736338409396
con,3.256339753259786,-0.3851027839668654
con,2.807354922057604,-0.39040559077478
