con_uncon,log_diversity,sqrt_biomass
uncon,3.608809242675524,17.840866010370686
uncon,2.700439718141092,14.486450565959903
uncon,2.655351828612554,15.564874450720763
uncon,1.925999418556223,16.651413853883398
uncon,0.765534746362977,19.831171170659587
uncon,3.786596361890807,14.106074341690533
uncon,1,11.338331005928518
uncon,0,11.455617253849747
uncon,0,6.7235903107417245
uncon,3.548436624696042,13.615229524323121
uncon,2.4059923596758366,16.360982040614186
uncon,1.8073549220576042,16.965089153906618
uncon,2.786596361890807,13.02249656044109
uncon,0,8.064726580287765
uncon,1,10.151141971881785
uncon,1,10.824675514767174
uncon,0,5.216863681053972
uncon,1.925999418556223,11.961585039897512
uncon,3.678071905112638,20.511741353022664
uncon,2,9.499677187499584
uncon,5.104336659814735,21.566109214846797
uncon,1.84799690655495,15.957608425660156
uncon,1,12.952432204030254
uncon,5.0916998341368105,23.17082234909456
uncon,0,8.909562278810334
uncon,0,11.3150489761777
uncon,1.84799690655495,17.274144937834116
uncon,0.6780719051126377,12.17732181831046
uncon,2,13.19348766121756
uncon,3.8972404255747994,14.239882373109689
uncon,2.655351828612554,14.180741047868407
uncon,0,7.117419944523437
uncon,2.608809242675524,13.676192818178603
uncon,0,20.5739519781689
uncon,1.765534746362977,17.37557193303288
uncon,2.6322682154995127,16.978372026395817
uncon,3.584962500721156,16.15226532100064
uncon,1,11.716412989191701
uncon,1,11.710974909600823
uncon,2.807354922057604,20.752437607825737
uncon,3.584962500721156,20.356997159043374
uncon,0,10.491147061532404
uncon,1,11.1866207289467
uncon,1.9634741239748859,13.978322503075967
uncon,2.7441610955704103,16.47081965173561
uncon,2.560714954474479,21.21561728224517
uncon,0,14.51401621422203
uncon,2.560714954474479,21.75184091826023
uncon,1,15.507324076061607
uncon,3.608809242675524,18.10304348261087
uncon,1.9634741239748859,16.045501965762867
uncon,0,9.872140936326831
uncon,1.8875252707415875,16.418401261998685
uncon,5.137503523749935,23.02969604662641
uncon,3.3923174227787602,20.110870194996536
uncon,0,5.015160349709668
uncon,1,10.393980629830903
uncon,2.350497247084133,16.399587901325447
uncon,0.925999418556223,13.592908690442234
uncon,3.596935142387232,21.12789191250987
uncon,1.765534746362977,15.474403596478282
uncon,3.4195388915137843,19.040882332497095
uncon,5.112700132749362,23.10946000378849
uncon,3.817623257511431,14.161700992465558
uncon,0,1.1731368206650066
uncon,1.765534746362977,13.717894031763768
uncon,2.963474123974886,10.471404713155728
uncon,1.4329594072761063,13.701122216811294
uncon,2.807354922057604,10.360750857601973
uncon,0,8.432359298162051
uncon,2.84799690655495,14.083700389695174
uncon,1.9634741239748859,16.204145560112078
uncon,0,6.223825190347171
uncon,0,8.522744080793462
uncon,1,8.384221291610807
uncon,1,8.027366733038923
uncon,2.765534746362977,13.470991054855615
uncon,1,9.926483936082303
uncon,3.4195388915137843,22.969357486296825
uncon,3.4195388915137843,19.451747993432363
uncon,0.925999418556223,17.4386304890407
uncon,1.632268215499513,16.485632128210916
con,3.608809242675524,17.840866010370686
con,2.700439718141092,14.486450565959903
con,3.786596361890807,14.106074341690533
con,3.548436624696042,13.615229524323121
con,3.678071905112638,20.511741353022664
con,5.104336659814735,21.566109214846797
con,5.0916998341368105,23.17082234909456
con,3.8972404255747994,14.239882373109689
con,3.584962500721156,16.15226532100064
con,3.584962500721156,20.356997159043374
con,2.7441610955704103,16.47081965173561
con,2.560714954474479,21.21561728224517
con,3.608809242675524,18.10304348261087
con,1.8875252707415875,16.418401261998685
con,5.137503523749935,23.02969604662641
con,3.3923174227787602,20.110870194996536
con,3.596935142387232,21.12789191250987
con,3.4195388915137843,19.040882332497095
con,5.112700132749362,23.10946000378849
con,3.817623257511431,14.161700992465558
con,2.765534746362977,13.470991054855615
con,3.4195388915137843,22.969357486296825
con,3.4195388915137843,19.451747993432363
